Fiyat,Yil,Kilometre,Motor_Hacmi,Motor_Gucu,Marka,Vites_Tipi,Yakit_Tipi,Segment
1468000.0,2016,129000.0,1197.0,115.0,Nissan,Otomatik,Benzin,ORTA
2845950.0,2024,16088.0,1497.0,190.0,Nissan,Otomatik,Benzin,PREMIUM
1709000.0,2025,22400.0,999.0,115.0,Nissan,Yarı Otomatik,Benzin,UST
1500000.0,2024,59000.0,999.0,115.0,Nissan,Yarı Otomatik,Benzin,UST
2250000.0,2021,45600.0,1332.0,158.0,Nissan,Otomatik,Benzin,PREMIUM
1345000.0,2015,88000.0,1461.0,110.0,Nissan,Düz,Dizel,ORTA
675000.0,2012,274000.0,1461.0,110.0,Nissan,Düz,Dizel,ORTA
1385000.0,2021,79000.0,2298.0,190.0,Nissan,Otomatik,Dizel,PREMIUM
1770000.0,2020,72000.0,1461.0,115.0,Nissan,Yarı Otomatik,Dizel,UST
1659000.0,2025,23000.0,999.0,115.0,Nissan,Yarı Otomatik,Benzin,UST
1390000.0,2016,190000.0,2298.0,190.0,Nissan,Otomatik,Dizel,EKONOMIK
1799000.0,2020,40000.0,1461.0,115.0,Nissan,Yarı Otomatik,Dizel,UST
1550000.0,2016,48000.0,1598.0,130.0,Nissan,Otomatik,Dizel,ORTA
915000.0,2011,142000.0,1598.0,117.0,Nissan,Otomatik,Benzin,ORTA
695000.0,2012,310000.0,1461.0,106.0,Nissan,Düz,Dizel,ORTA
349000.0,2001,320000.0,2488.0,133.0,Nissan,Düz,Dizel,EKONOMIK
689000.0,2005,303000.0,2488.0,133.0,Nissan,Düz,Dizel,EKONOMIK
2530000.0,2024,16000.0,1497.0,190.0,Nissan,Otomatik,Hibrit,PREMIUM
2195000.0,2023,19000.0,1497.0,190.0,Nissan,Otomatik,Hibrit,PREMIUM
2800000.0,2024,24000.0,1497.0,190.0,Nissan,Otomatik,Hibrit,PREMIUM
2090000.0,2023,43778.0,1497.0,190.0,Nissan,Otomatik,Hibrit,PREMIUM
920000.0,2012,213000.0,1461.0,106.0,Nissan,Düz,Dizel,ORTA
998000.0,2013,216000.0,1461.0,110.0,Nissan,Düz,Dizel,ORTA
835000.0,2013,250000.0,1461.0,110.0,Nissan,Düz,Dizel,ORTA
2220000.0,2024,22000.0,1332.0,158.0,Nissan,Otomatik,Benzin,PREMIUM
2185000.0,2024,34000.0,1332.0,158.0,Nissan,Otomatik,Benzin,PREMIUM
